2.193 ,2.204 ,2.214 ,2.225 ,2.236 ,2.247 ,2.257 ,2.268 ,2.279 ,2.290 ,2.301 ,2.312 ,2.323 ,2.334 ,2.346 ,2.357 ,2.368 ,2.380 ,2.391 ,2.403 ,2.414 ,2.426 ,2.437 ,2.449 ,2.461 ,2.472 ,2.484 ,2.496 ,2.508 ,2.520 ,2.532 ,2.544 ,2.556 ,2.568 ,2.581 ,2.593 ,2.605 ,2.618 ,2.630 ,2.643 ,2.655 ,2.668 ,2.681 ,2.693 ,2.706 ,2.719 ,2.732 ,2.745 ,2.758 ,2.771 ,2.784 ,2.797 ,2.811 ,2.824 ,2.837 ,2.851 ,2.864 ,2.878 ,2.891 ,2.905 ,
2.919 ,2.933 ,2.946 ,2.960 ,2.974 ,2.988 ,3.002 ,3.017 ,3.031 ,3.045 ,3.059 ,3.074 ,3.088 ,3.103 ,3.117 ,3.132 ,3.147 ,3.161 ,3.176 ,3.191 ,3.206 ,3.221 ,3.236 ,3.251 ,3.267 ,3.282 ,3.297 ,3.313 ,3.328 ,3.344 ,3.359 ,3.375 ,3.391 ,3.407 ,3.422 ,3.438 ,3.454 ,3.471 ,3.487 ,3.503 ,3.519 ,3.536 ,3.552 ,3.569 ,3.585 ,3.602 ,3.619 ,3.635 ,3.652 ,3.669 ,3.686 ,3.703 ,3.720 ,3.738 ,3.755 ,3.772 ,3.790 ,3.807 ,3.825 ,3.843 ,
3.860 ,3.878 ,3.896 ,3.914 ,3.932 ,3.950 ,3.968 ,3.987 ,4.005 ,4.024 ,4.042 ,4.061 ,4.079 ,4.098 ,4.117 ,4.136 ,4.155 ,4.174 ,4.193 ,4.212 ,4.232 ,4.251 ,4.271 ,4.290 ,4.310 ,4.329 ,4.349 ,4.369 ,4.389 ,4.409 ,4.429 ,4.450 ,4.470 ,4.490 ,4.511 ,4.531 ,4.552 ,4.573 ,4.594 ,4.615 ,4.636 ,4.657 ,4.678 ,4.699 ,4.721 ,4.742 ,4.764 ,4.785 ,4.807 ,4.829 ,4.851 ,4.873 ,4.895 ,4.917 ,4.939 ,4.962 ,4.984 ,5.007 ,5.029 ,5.052 ,
5.075 ,5.098 ,5.121 ,5.144 ,5.167 ,5.190 ,5.214 ,5.237 ,5.261 ,5.285 ,5.308 ,5.332 ,5.356 ,5.380 ,5.405 ,5.429 ,5.453 ,5.478 ,5.502 ,5.527 ,5.552 ,5.577 ,5.602 ,5.627 ,5.652 ,5.677 ,5.703 ,5.728 ,5.754 ,5.780 ,5.806 ,5.832 ,5.858 ,5.884 ,5.910 ,5.936 ,5.963 ,5.990 ,6.016 ,6.043 ,6.070 ,6.097 ,6.124 ,6.151 ,6.179 ,6.206 ,6.234 ,6.262 ,6.289 ,6.317 ,6.345 ,6.374 ,6.402 ,6.430 ,6.459 ,6.487 ,6.516 ,6.545 ,6.574 ,6.603 ,
6.632 ,6.662 ,6.691 ,6.721 ,6.750 ,6.780 ,6.810 ,6.840 ,6.870 ,6.901 ,6.931 ,6.961 ,6.992 ,7.023 ,7.054 ,7.085 ,7.116 ,7.147 ,7.179 ,7.210 ,7.242 ,7.274 ,7.306 ,7.338 ,7.370 ,7.402 ,7.435 ,7.467 ,7.500 ,7.533 ,7.566 ,7.599 ,7.632 ,7.665 ,7.699 ,7.733 ,7.766 ,7.800 ,7.834 ,7.868 ,7.903 ,7.937 ,7.972 ,8.007 ,8.041 ,8.076 ,8.112 ,8.147 ,8.182 ,8.218 ,8.254 ,8.289 ,8.325 ,8.362 ,8.398 ,8.434 ,8.471 ,8.508 ,8.544 ,8.581 ,
8.619 ,8.656 ,8.693 ,8.731 ,8.769 ,8.807 ,8.845 ,8.883 ,8.921 ,8.960 ,8.998 ,9.037 ,9.076 ,9.115 ,9.155 ,9.194 ,9.234 ,9.273 ,9.313 ,9.353 ,9.393 ,9.434 ,9.474 ,9.515 ,9.556 ,9.597 ,9.638 ,9.679 ,9.721 ,9.763 ,9.804 ,9.846 ,9.889 ,9.931 ,9.973 ,10.016 ,10.059 ,10.102 ,10.145 ,10.188 ,10.232 ,10.275 ,10.319 ,10.363 ,10.407 ,10.452 ,10.496 ,10.541 ,10.586 ,10.631 ,10.676 ,10.722 ,10.767 ,10.813 ,10.859 ,10.905 ,10.951 ,10.998 ,11.044 ,11.091 ,
11.138 ,11.186 ,11.233 ,11.280 ,11.328 ,11.376 ,11.424 ,11.473 ,11.521 ,11.570 ,11.619 ,11.668 ,11.717 ,11.766 ,11.816 ,11.866 ,11.916 ,11.966 ,12.017 ,12.067 ,12.118 ,12.169 ,12.220 ,12.272 ,12.323 ,12.375 ,12.427 ,12.479 ,12.531 ,12.584 ,12.637 ,12.690 ,12.743 ,12.796 ,12.850 ,12.904 ,12.958 ,13.012 ,13.067 ,13.121 ,13.176 ,13.231 ,13.286 ,13.342 ,13.398 ,13.453 ,13.510 ,13.566 ,13.622 ,13.679 ,13.736 ,13.793 ,13.851 ,13.908 ,13.966 ,14.024 ,14.083 ,14.141 ,14.200 ,14.259 ,
14.318 ,14.378 ,14.437 ,14.497 ,14.557 ,14.617 ,14.678 ,14.739 ,14.800 ,14.861 ,14.923 ,14.984 ,15.046 ,15.108 ,15.171 ,15.233 ,15.296 ,15.359 ,15.423 ,15.486 ,15.550 ,15.614 ,15.679 ,15.743 ,15.808 ,15.873 ,15.938 ,16.004 ,16.070 ,16.136 ,16.202 ,16.269 ,16.335 ,16.403 ,16.470 ,16.537 ,16.605 ,16.673 ,16.742 ,16.810 ,16.879 ,16.948 ,17.017 ,17.087 ,17.157 ,17.227 ,17.297 ,17.368 ,17.439 ,17.510 ,17.581 ,17.653 ,17.725 ,17.797 ,17.870 ,17.943 ,18.016 ,18.089 ,18.163 ,18.237 ,
18.311 ,18.385 ,18.460 ,18.535 ,18.610 ,18.686 ,18.761 ,18.838 ,18.914 ,18.991 ,19.068 ,19.145 ,19.222 ,19.300 ,19.378 ,19.457 ,19.535 ,19.614 ,19.694 ,19.773 ,19.853 ,19.933 ,20.014 ,20.094 ,20.175 ,20.257 ,20.338 ,20.420 ,20.502 ,20.585 ,20.668 ,20.751 ,20.834 ,20.918 ,21.002 ,21.087 ,21.171 ,21.256 ,21.342 ,21.427 ,21.513 ,21.599 ,21.686 ,21.773 ,21.860 ,21.948 ,22.035 ,22.124 ,22.212 ,22.301 ,22.390 ,22.480 ,22.569 ,22.659 ,22.750 ,22.841 ,22.932 ,23.023 ,23.115 ,23.207 ,
23.300 ,23.392 ,23.485 ,23.579 ,23.673 ,23.767 ,23.861 ,23.956 ,24.051 ,24.147 ,24.243 ,24.339 ,24.435 ,24.532 ,24.630 ,24.727 ,24.825 ,24.923 ,25.022 ,25.121 ,25.221 ,25.320 ,25.420 ,25.521 ,25.622 ,25.723 ,25.824 ,25.926 ,26.029 ,26.131 ,26.234 ,26.338 ,26.442 ,26.546 ,26.650 ,26.755 ,26.860 ,26.966 ,27.072 ,27.179 ,27.285 ,27.393 ,27.500 ,27.608 ,27.716 ,27.825 ,27.934 ,28.044 ,28.154 ,28.264 ,28.375 ,28.486 ,28.597 ,28.709 ,28.821 ,28.934 ,29.047 ,29.161 ,29.275 ,29.389 ,
29.504 ,29.619 ,29.734 ,29.850 ,29.966 ,30.083 ,30.200 ,30.318 ,30.436 ,30.554 ,30.673 ,30.793 ,30.912 ,31.032 ,31.153 ,31.274 ,31.395 ,31.517 ,31.639 ,31.762 ,31.885 ,32.009 ,32.133 ,32.257 ,32.382 ,32.508 ,32.633 ,32.760 ,32.886 ,33.013 ,33.141 ,33.269 ,33.397 ,33.526 ,33.656 ,33.785 ,33.916 ,34.046 ,34.178 ,34.309 ,34.441 ,34.574 ,34.707 ,34.841 ,34.975 ,35.109 ,35.244 ,35.379 ,35.515 ,35.652 ,35.788 ,35.926 ,36.064 ,36.202 ,36.341 ,36.480 ,36.620 ,36.760 ,36.901 ,37.042 ,
37.183 ,37.326 ,37.468 ,37.611 ,37.755 ,37.899 ,38.044 ,38.189 ,38.335 ,38.481 ,38.628 ,38.775 ,38.923 ,39.071 ,39.220 ,39.369 ,39.519 ,39.669 ,39.820 ,39.971 ,40.123 ,40.276 ,40.429 ,40.582 ,40.736 ,40.891 ,41.046 ,41.201 ,41.357 ,41.514 ,41.671 ,41.829 ,41.987 ,42.146 ,42.306 ,42.466 ,42.626 ,42.787 ,42.949 ,43.111 ,43.274 ,43.437 ,43.601 ,43.765 ,43.930 ,44.096 ,44.262 ,44.428 ,44.596 ,44.764 ,44.932 ,45.101 ,45.271 ,45.441 ,45.611 ,45.783 ,45.955 ,46.127 ,46.300 ,46.474 ,
46.648 ,46.823 ,46.998 ,47.174 ,47.351 ,47.528 ,47.706 ,47.885 ,48.064 ,48.243 ,48.424 ,48.605 ,48.786 ,48.968 ,49.151 ,49.334 ,49.518 ,49.703 ,49.888 ,50.074 ,50.261 ,50.448 ,50.636 ,50.824 ,51.013 ,51.203 ,51.393 ,51.584 ,51.776 ,51.968 ,52.161 ,52.355 ,52.549 ,52.744 ,52.939 ,53.136 ,53.333 ,53.530 ,53.728 ,53.927 ,54.127 ,54.327 ,54.528 ,54.729 ,54.932 ,55.135 ,55.338 ,55.543 ,55.748 ,55.953 ,56.160 ,56.367 ,56.575 ,56.783 ,56.992 ,57.202 ,57.413 ,57.624 ,57.836 ,58.048 ,
58.262 ,58.476 ,58.691 ,58.906 ,59.123 ,59.340 ,59.557 ,59.776 ,59.995 ,60.215 ,60.436 ,60.657 ,60.879 ,61.102 ,61.325 ,61.550 ,61.775 ,62.001 ,62.227 ,62.455 ,62.683 ,62.912 ,63.141 ,63.372 ,63.603 ,63.835 ,64.067 ,64.301 ,64.535 ,64.770 ,65.006 ,65.242 ,65.480 ,65.718 ,65.957 ,66.197 ,66.437 ,66.678 ,66.920 ,67.163 ,67.407 ,67.652 ,67.897 ,68.143 ,68.390 ,68.638 ,68.886 ,69.136 ,69.386 ,69.637 ,69.889 ,70.141 ,70.395 ,70.649 ,70.904 ,71.160 ,71.417 ,71.675 ,71.934 ,72.193 ,
